Designer,Category,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sophie hulme,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
saint laurent,Luxury,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
the row,Luxury,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
tom ford,Luxury,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
marni,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
burberry brit,Premium,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
aquazzura,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
gianvito rossi,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
paul andrew,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
acne studios,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
christian siriano,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
cushnie et ochs,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
fausto puglisi,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
jenny packham,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
l'wren scott,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
no. 21,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
rachel gilbert,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
tamara mellon,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
a.l.c.,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
canada goose,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
for love & lemons,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
iro,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
jonathan simkhai,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
opening ceremony,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
ted baker london,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0
veronica beard,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
frame,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
aquatalia,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
costume national,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
elyse walker,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
givenchy,Luxury,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
kenzo,Luxury,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ralph rucci,Luxury,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
loewe,Premium,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
amsale,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
derek lam 10 crosby,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
jovani,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
la petite robe di chiara boni,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
lamarque,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
loveshackfancy,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
marchesa notte,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
marco de vincenzo,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mother of pearl,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
nicholas,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ronny kobo,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
sass & bide,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
self portrait,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
zadig & voltaire,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
francesco russo,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sjp by sarah jessica parker,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
anya hindmarch,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
boyy,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mcm,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
smythson,Contemporary,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
victoria beckham,Luxury,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
zuhair murad,Luxury,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
roger vivier,Luxury,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
prabal gurung,Premium,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
maison margiela,Premium,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
pierre hardy,Premium,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
alo yoga,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ba&sh;  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
badgley mischka couture  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
creatures of the wind,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gorski,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
isabel marant etoile,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
jill jill stuart,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
kobi halperin,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
m.i.h jeans,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
michael kors collection,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
misa los angeles,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
mm6 maison margiela,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
monse,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
msgm,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
needle & thread  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
peserico,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ph15,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
public school  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
solace london  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
suno,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tanya taylor,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
the great,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
victoria victoria beckham  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adidas  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adidas by stella mccartney  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
common projects  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fenty puma by rihanna,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
kendall + kylie  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mm6 maison margiela  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
new balance  ,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
repetto,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ugg,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
coach new york,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
coach 1941,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
les petits joueurs,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
liberty london,Contemporary,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
brandon maxwell,Premium,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
isabel marant,Premium,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
buscemi  ,Premium,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a.w.a.k.e.,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
alexa chung,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beyond yoga,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
blanc noir,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
calvin klein 205w39nyc,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
caroline constas,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
chiara boni la petite robe,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
cinq à sept,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
etoile isabel marant,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
fleurette,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
galvan,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
likely,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
needle & thread,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
nike,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
paige,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
palmer//harding,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
rejina pyo,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
rosetta getty,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
sachin & babi,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
saloni,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
simone rocha,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
solace london,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
the north face,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
under armour,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
victoria victoria beckham,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
adidas,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
common projects,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
mansur gavriel,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
sanayi313,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
attico,Contemporary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
boutique moschino,Luxury,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
theirry mugler,Luxury,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
valentino garavani,Luxury,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
chanel,Luxury,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
brock collection,Premium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
delpozo,Premium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dries van noten,Premium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
johanna ortiz,Premium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
olympia le-tan,Premium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
paco rabanne,Premium,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
alanui,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
barbour,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
carbon 38,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cupcakes and cashmere,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
emporio armani,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
fame and partners,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
giada forte,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
herno,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
levi's,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
moose knuckles,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
mother,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
nbd,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rta,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
saylor,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
tularosa,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vita kin,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
coach,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
p448,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
hayward,Contemporary,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
gabriela hearst,Luxury,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
mr. & mrs. italy,Luxury,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alaia ,Luxury,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
off-white,Premium,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
adrienne landau,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
agolde,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
all things mochi,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cynthia rowley,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
dodo bar or,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
double j,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
faithfull the brand,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
harris wharf london,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
lingua franca,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
pinko,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
re/done,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
rhode,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
shona joy,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
stine goya,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
the attico,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
lucchese,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
malone souliers,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
eugenia kim,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sensi studio,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
the volon,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
yuzefi,Contemporary,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
louis vuitton,Luxury,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
giorgio armani  ,Luxury,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
f.r.s for restless sleepers,Premium,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rosantica,Premium,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
valextra,Premium,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ba&sh,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
farm rio,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
grlfrnd,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
palm angels,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
perfect moment,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
proenza schouler white label,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
safiyaa,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sies marjan,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
staud,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
by far,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
paris texas,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
veja,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
wandler,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
hunting season,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
khaite,Luxury,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
alex perry,Premium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
alexandre vauthier,Premium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
area,Premium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
huishan zhang,Premium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
jason wu collection,Premium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
amina muaddi,Premium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
agent provocateur,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ganni,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
max mara,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
nanushka,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rococo sand,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
silvia tcherassi,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ulla johnson,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
versace jeans couture,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
yves salomon,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
zhivago,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
birkenstock,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cult gaia,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
inuikii,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
manu atelier,Contemporary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ambush,Premium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jw anderson,Premium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
maticevski,Premium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rasario,Premium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
rodarte,Premium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
bally,Premium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
a.p.c.,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alessandra rich,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amur,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
apparis,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dawn levy,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pajar,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
patbo,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rachel comey,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rhude,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sabina musayev,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sea,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sleeper,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
soia & kyo,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sprwmn,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stand studio,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
toteme,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bruno magli,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mz wallace,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
senreve,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
strathberry,Contemporary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amiri,Premium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jacquemus,Premium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rosie assoulin,Premium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mark cross,Premium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1